# target_x=0
x,theta,motor,clamped
0.7132636,0.0034768758,0.0057495907,0
0.6985433,0.0052257637,0.008112416,0
0.6838445,0.0069629345,0.010431409,0
0.66917586,0.0086855935,0.012705892,0
0.65454596,0.010391128,0.0149348155,0
0.63996315,0.012077095,0.017117321,0
0.6254356,0.013741211,0.019252628,0
0.6109714,0.015381341,0.021339402,0
0.5965784,0.016995488,0.023376964,0
0.5822643,0.01858179,0.025364093,0
0.5680365,0.02013851,0.027299881,0
0.5539024,0.021664029,0.02925998,0
0.539869,0.023156844,0.03179472,0
0.52594364,0.024615113,0.03409998,0
0.5121357,0.026033426,0.036200494,0
0.49845374,0.0274075,0.038117185,0
0.4849056,0.028734,0.039868325,0
0.47149834,0.030010384,0.04146976,0
0.45823842,0.03123478,0.042934917,0
0.44513172,0.032405883,0.044275954,0
0.43218362,0.033522848,0.04550284,0
0.419399,0.034585226,0.046624653,0
0.40678233,0.0355929,1,1
0.39433768,0.072546005,1,1
0.38578728,0.10387068,1,1
0.38112056,0.12981136,1,1
0.38032705,0.1505832,1,1
0.38339716,0.16636951,1,1
0.39032266,0.1773203,1,1
0.40109697,0.1835513,0.8712419,0
0.41571552,0.18514356,0.77201986,0
0.43367442,0.18288267,0.6746828,0
0.45458692,0.17734955,0.58439195,0
0.4780751,0.16908675,0.5006844,0
0.5037895,0.1585743,0.4231693,0
0.5314072,0.14623715,0.3515048,0
0.5606298,0.13245136,0.28538054,0
0.59118205,0.117549166,0.22536874,0
0.6228105,0.10182337,0.17340775,0
0.6552856,0.08552597,0.12462002,0
0.6884092,0.06885849,0.078963846,0
0.72199565,0.0520016,0.036381803,0
0.7558714,0.03511633,-0.0031980053,0
0.789875,0.01834527,-0.039859913,0
0.8238565,0.0018137228,-0.07369962,0
0.8576774,-0.014369156,-0.10482064,0
0.8912102,-0.030109214,-0.13333271,0
0.9243379,-0.045326166,-0.1593486,0
0.95695364,-0.059952486,-0.18298307,0
0.98896015,-0.073932305,-0.20434988,0
1.0202693,-0.08722034,-0.22356136,0
1.0508018,-0.099780895,-0.2398999,0
1.0804865,-0.11158687,-0.25155714,0
1.1092635,-0.12262368,-0.2617364,0
1.1370908,-0.13289951,-0.27056107,0
1.1639318,-0.14242646,-0.2781437,0
1.1897554,-0.15121983,-0.29377404,0
1.214535,-0.1592975,-0.3137537,0
1.2382121,-0.16662627,-0.3292178,0
1.2607116,-0.17314354,-0.34051278,0
1.2819753,-0.17880817,-0.34636942,0
1.3019613,-0.18359798,-0.3495031,0
1.3206487,-0.18751663,-0.35234973,0
1.3380266,-0.19057773,-0.3532661,0
1.3540854,-0.19279084,-0.34553707,0
1.3688225,-0.19417094,-0.33620024,0
1.3822683,-0.19477694,-0.3263625,0
1.39446,-0.19467144,-0.31611675,0
1.4054358,-0.19391477,-0.30554911,0
1.4152356,-0.1925649,-0.29473966,0
1.4239004,-0.19067742,-0.2837622,0
1.4314717,-0.1883054,-0.27268466,0
1.4379917,-0.18549944,-0.26156923,0
1.4435029,-0.18230763,-0.2503288,0
1.4480476,-0.1787755,-0.23859888,0
1.4516687,-0.17494692,-0.22714743,0
1.4544108,-0.17086643,-0.21599981,0
1.4563173,-0.16657518,-0.20517705,0
1.4574305,-0.16211106,-0.19469604,0
1.4577912,-0.15750885,-0.18611649,0
1.4574391,-0.15280034,-0.17665336,0
1.4564061,-0.14800557,-0.16317706,0
1.4547278,-0.1431491,-0.15119344,0
1.4524553,-0.13827819,-0.13960761,0
1.449634,-0.13343124,-0.12855066,0
1.4463075,-0.12864436,-0.11893679,0
1.4425176,-0.123950824,-0.11057104,0
1.4383005,-0.11937602,-0.10328376,0
1.4336873,-0.11493874,-0.09692724,0
1.4287053,-0.110652365,-0.09137308,0
1.423378,-0.10652574,-0.08650988,0
1.4177258,-0.10256405,-0.08224066,0
1.4117664,-0.09876951,-0.07848178,0
1.4055156,-0.095141925,-0.07516071,0
1.3989867,-0.09167921,-0.07221456,0
1.3921918,-0.08837779,-0.06958921,0
1.3851413,-0.085232966,-0.06723791,0
1.3778445,-0.08223919,-0.06512037,0
1.3703097,-0.07939031,-0.06320204,0
1.3625444,-0.07667977,-0.06145293,0
1.3545552,-0.074100785,-0.05984759,0
1.3463482,-0.07164643,-0.058363885,0
1.3379288,-0.06930979,-0.05698331,0
1.3293022,-0.067084044,-0.0556897,0
1.3204731,-0.064962484,-0.05446941,0
1.311446,-0.062938616,-0.053310588,0
1.3022249,-0.061006166,-0.05220337,0
1.2928138,-0.059159126,-0.051182732,0
1.2832165,-0.057391763,-0.050438408,0
1.2734364,-0.055698376,-0.049653713,0
1.263476,-0.054072157,-0.048834223,0
1.2533377,-0.052506994,-0.047984205,0
1.2430245,-0.050997414,-0.047107883,0
1.2325389,-0.049538497,-0.046209145,0
1.2218843,-0.048125833,-0.045291092,0
1.2110634,-0.046755467,-0.044356823,0
1.2000796,-0.045423843,-0.043408617,0
1.1889361,-0.044127773,-0.042448938,0
1.1776363,-0.042864393,-0.04147978,0
1.1661835,-0.041631132,-0.040502846,0
1.1545811,-0.040425677,-0.039519813,0
1.1428325,-0.039245956,-0.038532354,0
1.1309414,-0.03809011,-0.03754127,0
1.1189111,-0.036956463,-0.036548086,0
1.1067454,-0.035843518,-0.035553742,0
1.0944475,-0.03474992,-0.034559067,0
1.0820211,-0.03367447,-0.033565,0
1.0694699,-0.032616075,-0.033734117,0
1.0567974,-0.031573765,-0.035644405,0
1.0440025,-0.030539867,-0.036908835,0
1.0310776,-0.029496625,-0.037611537,0
1.0180174,-0.028430115,-0.037825104,0
1.0048189,-0.02732964,-0.037613027,0
0.991481,-0.026187215,-0.03702994,0
0.97800416,-0.024997134,-0.036123525,0
0.9643903,-0.023755595,-0.034935743,0
0.95064265,-0.022460388,-0.033502858,0
0.9367655,-0.021110626,-0.03185745,0
0.922764,-0.019706517,-0.03002771,0
0.90864426,-0.018249169,-0.02803848,0
0.894413,-0.016740426,-0.025912307,0
0.88007754,-0.015182733,-0.023158997,0
0.86564577,-0.013579007,-0.020252034,0
0.851128,-0.011935533,-0.0174122,0
0.83653504,-0.010259204,-0.014632396,0
0.8218776,-0.008556268,-0.011907026,0
0.807166,-0.0068324194,-0.009232022,0
0.7924103,-0.005092863,-0.0066044405,0
0.7776206,-0.0033423794,-0.0040222406,0
0.7628066,-0.001585372,-0.0014839321,0
0.74797785,0.00017408957,0.001011312,0
0.73314375,0.0019322339,0.0034636334,0
0.7183136,0.0036855568,0.0058732033,0
0.70349634,0.005430797,0.0082396045,0
0.688701,0.007164914,0.010562219,0
0.6739362,0.008885068,0.012840219,0
0.65921056,0.010588607,0.015073031,0
0.6445325,0.012273051,0.01725962,0
0.62991023,0.013936081,0.019398898,0
0.6153518,0.015575528,0.021490037,0
0.60086507,0.017189367,0.023531899,0
0.5864577,0.018775703,0.025523618,0
0.5721373,0.020332774,0.027463973,0
0.5579111,0.021858934,0.029412322,0
0.5437862,0.023352657,0.031958602,0
0.5297699,0.024812173,0.034274347,0
0.5158716,0.026232012,0.036384217,0
0.5020999,0.027607834,0.038309596,0
0.48846263,0.02893626,0.040068664,0
0.47496697,0.030214708,0.04167743,0
0.46161938,0.031441275,0.04314939,0
0.44842577,0.032614622,0.044496633,0
0.43539152,0.033733882,1,1
0.42252156,0.070798576,1,1
0.4135463,0.10222286,1,1
0.40845522,0.1282514,1,1
0.4072379,0.1490997,1,1
0.4098847,0.16495143,1,1
0.4163874,0.17595695,1,1
0.42673948,0.18223234,0.86879647,0
0.44093627,0.18385898,0.76924026,0
0.45846438,0.18163699,0.67210513,0
0.4789357,0.1761496,0.5820162,0
0.50197303,0.16793866,0.49851033,0
0.52722776,0.15748352,0.42119527,0
0.5543776,0.14520848,0.34972796,0
0.58312505,0.13148896,0.28379714,0
0.6131955,0.11665663,0.22310968,0
0.6443362,0.10100366,0.16890585,0
0.676315,0.08478651,0.120847955,0
0.708925,0.06822029,0.07588276,0
0.7419833,0.051481977,0.033953067,0
0.77531904,0.034729272,-0.0050133765,0
0.8087732,0.018101724,-0.04110066,0
0.8421984,0.0017218869,-0.07440351,0
0.8754582,-0.014303545,-0.105024725,0
0.9084272,-0.029882612,-0.13307282,0
0.94099027,-0.044936974,-0.15865897,0
0.9730423,-0.059400804,-0.18189622,0
1.0044876,-0.07321971,-0.20289703,0
1.0352398,-0.086349696,-0.22083637,0
1.0652208,-0.098756164,-0.23451096,0
1.0943644,-0.110418394,-0.24653903,0
1.1226209,-0.12133628,-0.2570591,0
1.149947,-0.13151486,-0.26619574,0
1.1763048,-0.14096342,-0.27385142,0
